Unnamed: 0,TV,radio,newspaper,sales
84,68.4,44.5,35.6,13.6
17,67.8,36.6,114.0,12.5
113,175.7,15.4,2.4,14.1
179,276.7,2.3,23.7,11.8
78,120.5,28.5,14.2,14.2
165,117.2,14.7,5.4,11.9
70,216.8,43.9,27.2,22.3
69,237.4,27.5,11.0,18.9
122,18.8,21.7,50.4,7.0
175,222.4,3.4,13.1,11.5
178,170.2,7.8,35.2,11.7
150,44.7,25.8,20.6,10.1
67,31.5,24.6,2.2,9.5
32,112.9,17.4,38.6,11.9
88,110.7,40.6,63.2,16.0
87,76.3,27.5,16.0,12.0
57,7.3,28.1,41.4,5.5
62,261.3,42.7,54.7,24.2
92,28.6,1.5,33.0,7.3
161,172.5,18.1,30.7,14.4
18,281.4,39.6,55.8,24.4
126,87.2,11.8,25.9,10.6
98,184.9,21.0,22.0,15.5
174,168.4,7.1,12.8,11.7
68,139.3,14.5,10.2,13.4
191,39.5,41.1,5.8,10.8
149,38.0,40.3,11.9,10.9
11,66.1,5.8,24.2,8.6
20,147.3,23.9,19.1,14.6
130,59.6,12.0,43.1,9.7
192,75.5,10.8,6.0,9.9
47,89.7,9.9,35.7,10.6
194,166.8,42.0,3.6,19.6
166,234.5,3.4,84.8,11.9
103,280.2,10.1,21.4,14.8
71,199.1,30.6,38.7,18.3
128,80.2,0.0,9.2,8.8
125,229.5,32.3,74.2,19.7
77,27.5,1.6,20.7,6.9
80,116.0,7.7,23.1,11.0
185,253.8,21.3,30.0,17.6
40,228.0,37.7,32.0,21.5
26,262.9,3.5,19.5,12.0
144,104.6,5.7,34.4,10.4
143,220.5,33.2,37.9,20.1
31,292.9,28.3,43.2,21.4
21,218.4,27.7,53.4,18.0
171,50.0,11.6,18.4,8.4
129,220.3,49.0,3.2,24.7
120,19.4,16.0,22.3,6.6
58,136.2,19.2,16.6,13.2
7,57.5,32.8,23.5,11.8
124,123.1,34.6,12.4,15.2
115,78.2,46.8,34.5,14.6
95,107.4,14.0,10.9,11.5
141,73.4,17.0,12.9,10.9
97,197.6,3.5,5.9,11.7
173,19.6,20.1,17.0,7.6
198,177.0,9.3,6.4,12.8
170,284.3,10.6,6.4,15.0
142,193.7,35.4,75.6,19.2
33,97.2,1.5,30.0,9.6
14,97.5,7.6,7.2,9.7
37,266.9,43.8,5.0,25.4
117,139.2,14.3,25.6,12.2
44,206.9,8.4,26.4,12.9
75,213.4,24.6,13.1,17.0
138,273.7,28.9,59.7,20.8
137,25.6,39.0,9.3,9.5
53,216.4,41.7,39.6,22.6
106,137.9,46.4,59.0,19.2
163,188.4,18.1,25.6,14.9
43,293.6,27.7,1.8,20.7
116,75.1,35.0,52.7,12.6
111,225.8,8.2,56.5,13.4
28,240.1,16.7,22.9,15.9
134,219.8,33.5,45.1,19.6
99,289.7,42.3,51.2,25.4
167,17.9,37.6,21.6,8.0
4,151.5,41.3,58.5,18.5
79,5.4,29.9,9.4,5.3
48,239.9,41.5,18.5,23.2
114,209.6,20.6,10.7,15.9
187,139.5,2.1,26.6,10.3
140,184.9,43.9,1.7,20.7
38,74.7,49.4,45.7,14.7
63,239.3,15.5,27.3,15.7
24,228.3,16.9,26.2,15.5
164,163.5,36.8,7.4,18.0
100,135.2,41.7,45.9,17.2
35,95.7,1.4,7.4,9.5
13,23.8,35.1,65.9,9.2
195,149.7,35.6,6.0,17.3
160,131.7,18.4,34.6,12.9
8,120.2,19.6,11.6,13.2
29,248.8,27.1,22.9,18.9
188,191.1,28.7,18.2,17.3
6,8.7,48.9,75.0,7.2
34,265.6,20.0,0.3,17.4
